"☻ Can be implemented but isn't",,,,,,,,,,,,,,,,,,,,,,,,
"☺ Has been implemented",,,,,,,,,,,,,,,,,,,,,,,,
,,"Applicative","Apply","Arrow","Bifunctor","Bind","Cofunctor","Each","Empty","Equal","FoldLeft","FoldRight","Functor","Monad","Monoid","Order","Paramorphism","Plus","Pointed","Pure","Semigroup","Show","Traverse","Zero"
"scala.Either.LeftProjection[_, X]","* -> *","☻","☺",,,"☺",,,,,,,,,,,,,,,,,,
"scala.Either.RightProjection[X, _]","* -> *","☻","☺",,,"☺",,,,,,,,,,,,,,,,,,
"scala.RandomAccessSeq","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.ArrayList","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.HashMap","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.HashSet","* -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.Hashtable","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.IdentityHashMap","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.LinkedHashMap","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.LinkedHashSet","* -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.LinkedList","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.PriorityQueue","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.Stack","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.TreeMap","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.TreeSet","* -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.Vector","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.WeakHashMap","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.concurrent.ArrayBlockQueue","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.concurrent.ConcurrentHashMap","* -> * -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.concurrent.ConcurrentLinkedQueue","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.concurrent.CopyOnWriteArrayList","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.concurrent.CopyOnWriteArraySet","* -> *",,,,,,,,,,,,,,,,,,,,,,,
"java.util.concurrent.LinkedBlockingQueue","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
"java.util.concurrent.SynchronousQueue","* -> *","☻","☻",,,"☻",,,,,,,,,,,,,,,,,,
